Filename,Title,Keywords,Category,Publish
260421053 (39).png,Friends Enjoying a Picnic in the Park,"friends, picnic, park, outdoor, nature, greenery, grass, sunlight, laughter, conversation, relaxation, leisure, group, diverse, young adults, smiling, happy, casual clothing, jeans, t-shirts, striped shirt, plaid shirt, brown jacket, white shirt, basket, fruit, grapes, bananas, oranges, apples, juice, bottle, glass, drinks, red bottle, orange juice, blanket, sitting, socializing, summer, daytime, natural light, trees, shadows, background blur, lifestyle, together, joy, friendship",12,
260421053 (4).png,Augmented Reality Display of Historical Building,"smartphone, augmented reality, hologram, building, architecture, historical building, 3D model, digital projection, hand, mobile device, urban environment, city square, blue light, wireframe, technology, innovation, future, modern, outdoor, daylight, clear sky, pavement, trees, lamppost, people in background, blurred background, interactive, virtual overlay, transparent screen, futuristic, design, construction, classical architecture, dome, columns, windows, real-time, AR technology, navigation, education, tourism, visualization, digital interface, user interaction, touchscreen, black phone, sleeve, gray sweater",19,
260421053 (40).png,Hands typing code on a glowing laptop keyboard,"hands, typing, keyboard, laptop, code, programming, developer, software, coding, technology, digital, computer, screen, glow, light, blue, neon, lines, text, syntax, script, data, network, cyber, future, innovation, work, focus, concentration, night, dark, background, reflection, fingers, keys, input, development, tech, modern, abstract, visual, motion, dynamic, electric, energy, information, digital art, hacking, security",19,
260421053 (41).png,Vibrant Market Scene with People Shopping for Fresh Produce,"market, outdoor, stall, fruit, vegetable, produce, colorful, umbrella, canopy, people, shopping, walking, man, woman, scarf, headscarf, traditional clothing, yellow shirt, red dress, jeans, basket, plastic crate, bucket, oranges, tomatoes, peppers, mangoes, melons, bananas, crowd, street, sunlight, daytime, busy, lifestyle, culture, urban, architecture, building, domed structure, background, vibrant, warm colors, shade, trade, commerce, local market, South Asia, India",13,
260421053 (42).png,Hands Holding Earth with Growing Plant,"hands, earth, globe, plant, seedling, leaves, green, growth, nature, environment, sustainability, care, protection, diversity, unity, collaboration, hope, future, ecology, planet, global, Earth Day, conservation, renewal, life, natural, outdoor, background, blurred, sunlight, warm, soft, focus, human, skin, dark skin, light skin, contrast, together, holding, support, peace, harmony, symbolism, conceptual, art, photography, composition, balance",5,
260421053 (5).png,Friends Celebrating with Balloons and Candles,"friends, celebration, party, balloons, candles, smiling, laughing, happy, joyful, group, young adults, diverse, multicultural, indoor, festive, decorations, bunting flags, colorful, red balloon, blue balloon, yellow balloon, green balloon, pink balloon, orange balloon, lighting, natural light, casual clothing, dress, shirt, jacket, curly hair, straight hair, laughter, social gathering, birthday, event, background, white wall, chairs, table, interior, warm atmosphere, emotions, togetherness, camaraderie, fun, gathering, celebratory, candlelight",13,
260421053 (6).png,Hand Holding a Small Seedling,"hand, seedling, plant, green, leaf, roots, growth, nature, care, sustainability, environment, life, young plant, fingers, palm, natural background, blurry green, outdoor, daylight, soft light, close-up, human hand, new life, ecology, gardening, vegetation, foliage, stem, soil, earth, fragile, hope, renewal, spring, botany, agriculture, cultivation, nurture, protect, small, delicate, fresh, organic, biodiversity, conservation, future, development, water, sunlight",14,
260421053 (7).png,Family BBQ in the Backyard,"family, barbecue, grill, outdoor, backyard, man, boy, woman, child, cooking, meat, sausage, hamburger, smoke, tongs, table, lunch, food, garden, grass, chair, sunlight, summer, leisure, together, happy, laughter, relaxing, casual, white shirt, striped shirt, khaki shorts, shorts, wooden fence, plant, pot, drinks, glass, juice, fruit, vegetables, natural light, clear sky, daytime, social gathering, outdoor dining",12,
260421053 (8).png,Children Playing in a Water Fountain,"children, kids, playing, water, fountain, splashing, running, smiling, summer, outdoor, park, sunlight, blue sky, trees, bench, street lamp, sprinkler, wet, barefoot, cute, joyful, laughter, active, fun, recreation, playground, water play, cooling off, childhood, diversity, girl, boy, tank top, shorts, curly hair, pigtails, sunshine, clear water, splash, movement, dynamic, happy, energy, leisure, community, public space, urban park, water jets, shadows",13,
260421053 (9).png,Hands typing on a transparent illuminated keyboard,"hands, typing, keyboard, transparent, illuminated, backlit, blue light, clear keys, computer, technology, gaming, modern, fingers, close-up, electronic, input device, mechanical, glow, lighting, desktop, work, digital, night, focus, precision, design, innovation, cyber, future, cool, tech, efficiency, productivity, surface, reflection, contrast, shiny, plastic, wire, connection, typing action, human interaction, device, workspace, ambient light, clarity, transparency, keycaps, function keys",19,
